"","Y","Qm3_MjHf_2.5per","gSS_MjHf_2.5per","gDRP_MjHf_2.5per","gPsorbedgDM_2.5per","gPsorbP_MjHf_2.5per","gPsorb_MjHf_2.5per","gDRPwoSorp_MjHf_2.5per","gDRPwindowWOsorp_2.5per","perSorb_2.5per","perSorbP_2.5per","Qm3_MjHf_50per","gSS_MjHf_50per","gDRP_MjHf_50per","gPsorbedgDM_50per","gPsorbP_MjHf_50per","gPsorb_MjHf_50per","gDRPwoSorp_MjHf_50per","gDRPwindowWOsorp_50per","perSorb_50per","perSorbP_50per","Qm3_MjHf_97.5per","gSS_MjHf_97.5per","gDRP_MjHf_97.5per","gPsorbedgDM_97.5per","gPsorbP_MjHf_97.5per","gPsorb_MjHf_97.5per","gDRPwoSorp_MjHf_97.5per","gDRPwindowWOsorp_97.5per","perSorb_97.5per","perSorbP_97.5per","Yn","Yg"
"32",2009,2634863754,592641065917,169255195.87,0.00796422369725,67599510.6345,61875863.15375,236854708.4975,231131060.49675,0.365577333302518,0.399394005525368,2634863754,592641065917,169255195.87,0.009808988967,101160418.3465,83048182.745,270415616.05,252303383.35,0.490668438969442,0.597679839762192,2634863754,592641065917,169255195.87,0.0117216444887,153108576.551582,104317461.20675,322363773.3675,273572661.84,0.616332400730984,0.90460192825738,2009,"G2003"
"33",2010,3178248134,489069162617,284630610,0.0131471361750875,67897404.1044475,66530502.24775,352528016.025,351161113.1,0.233743314704452,0.238545685948702,3178248134,489069162617,284630610,0.015117685769,83836832.4315,78924961.815,368467441.5,363555571,0.277289086423277,0.294546087054727,3178248134,489069162617,284630610,0.0175845593777,104659647.09425,96080378.9565,389290251.5,380710984.225,0.337561652123431,0.367703414240127,2010,"G2003"
"34",2011,4599268009,969999356646,414105504.38,0.01025913791705,123541428.133425,118559729.84275,537646933.078,532665235.263,0.286303197104945,0.298333219014781,4599268009,969999356646,414105504.38,0.0125299847235,166487157.615,148740773.995,580592662.65,562846278.38,0.359185696451186,0.402040436203004,4599268009,969999356646,414105504.38,0.01477879738175,228973099.17025,179891031.28225,643078602.8205,593996537.13,0.434408693870378,0.55293420818704,2011,"G2003"
"35",2012,549060433,167411156005,44061759.9,0.00200957616785,16610532.4025,15857156.500275,60672291.5175,59918915.7175,0.359884773923318,0.376982953930989,549060433,167411156005,44061759.9,0.002931174815,28423424.05,23717221.245,72485181.45,67778981.5,0.538272218332341,0.645081451909959,549060433,167411156005,44061759.9,0.00409640640325,46398556.4655,30116896.158,90460316.82,74178655.28,0.683515507014508,1.05303457171941,2012,"G2003"
"36",2013,2207838499,426112862332,208383754.6,0.0064726025351,52332492.208075,50137950.85825,260716246.41,258521705.0975,0.240603932655363,0.251135182339569,2207838499,426112862332,208383754.6,0.0081876646535,74407148.8,67699355.58,282790904.15,276083111.35,0.324878279067153,0.357067895925127,2207838499,426112862332,208383754.6,0.0100622349330285,100313377.815,87342936.5135,308697129.3575,295726687.9225,0.419144653004059,0.481387707057851,2013,"G2003"
"37",2014,2819311067,409719862566,275972897.39,0.0087337702798175,49307099.04725,48911780.32725,325279994.07225,324884673.96325,0.177233999388457,0.178666454255361,2819311067,409719862566,275972897.39,0.010507818735,68931619.513,65760931.01,344904513.225,341733825.735,0.238287642126929,0.249776772157402,2819311067,409719862566,275972897.39,0.01294676527125,102758896.11,86413542.44125,378731789.69675,362386439.145,0.313123293115019,0.372351405090272,2014,"G2003"
"38",2015,3611389827,629950774997,392619560.6,0.0087006571126,77402901.988725,75230103.8168,470022464.3775,467849664.955,0.191610687205277,0.197144792965583,3611389827,629950774997,392619560.6,0.0106056056455,108474105.505,101427418.12,501093668.5,494046980.05,0.258335111895594,0.276282988395255,3611389827,629950774997,392619560.6,0.0126227854845,145060230.100375,128485744.05475,537679791.205,521105306.14,0.327252528779764,0.369467659427601,2015,"G2003"
"39",2016,1965431816,286518599703,119749724.9,0.00873631442595,39465672.507,37382328.713,159215394.03,157132048.845,0.312170476752385,0.329567959675538,1965431816,286518599703,119749724.9,0.0105080584420165,50335381.9385,45581554.5045,170085105.75,165331276,0.380640160489421,0.420338184330142,1965431816,286518599703,119749724.9,0.01279775518925,64095957.4085,54747969.97025,183845680.845,174497693.8725,0.457186603275863,0.535249308188599,2016,"G2003"
"40",2017,2628576058,559200468358,261089907.9,0.00704571018025,72382635.7355,66601270.820075,333472543.425,327691177.1875,0.255089410983989,0.277232606643774,2628576058,559200468358,261089907.9,0.008799940416,96259272.5853345,88336331.555,357349182.612395,349426240.9,0.338336829123375,0.368682471517882,2628576058,559200468358,261089907.9,0.0108302519165,130055798.271025,113975455.4275,391145709.0275,375065364.7825,0.436537192663738,0.498126485688744,2017,"G2003"
"41",2018,2370609151,316600410961,179446322.73,0.008758344843275,43445037.98625,42085922.530975,222891362.106,221532248.12425,0.234532097903721,0.242106036642604,2370609151,316600410961,179446322.73,0.01056050546,54417992.525,53007803.27,233864318.145,232454127.65,0.29539643088567,0.303254988439517,2370609151,316600410961,179446322.73,0.01286074551575,71101984.717375,67221313.21925,250548307.54,246667637.025,0.374604016379834,0.396229823134114,2018,"G2003"
"42",2019,4454920066,801530807902,322938575,0.01499843957945,111984325.04475,102687195.9467,434922893.9925,425625766.6075,0.317977485181818,0.346766641441797,4454920066,801530807902,322938575,0.017314294173,138727439.32,120879748.3765,461666008.85,443818319.4,0.374311890044415,0.429578409206766,4454920066,801530807902,322938575,0.0196078862077,172093087.4172,138934824.12325,495031656.435,461873394.575,0.430220589544776,0.532897277499908,2019,"G2003"
