"","Y","Qm3_MjHf_2.5per","gSS_MjHf_2.5per","gDRP_MjHf_2.5per","gPsorbedgDM_2.5per","gPsorbP_MjHf_2.5per","gPsorbWindow_2.5per","gDRPwoSorp_MjHf_2.5per","gDRPwindowWOsorp_2.5per","perSorbP_2.5per","Qm3_MjHf_50per","gSS_MjHf_50per","gDRP_MjHf_50per","gPsorbedgDM_50per","gPsorbP_MjHf_50per","gPsorbWindow_50per","gDRPwoSorp_MjHf_50per","gDRPwindowWOsorp_50per","perSorbP_50per","Qm3_MjHf_97.5per","gSS_MjHf_97.5per","gDRP_MjHf_97.5per","gPsorbedgDM_97.5per","gPsorbP_MjHf_97.5per","gPsorbWindow_97.5per","gDRPwoSorp_MjHf_97.5per","gDRPwindowWOsorp_97.5per","perSorbP_97.5per","Yn"
"21","1998",2334375374.31328,586196936074.368,150963384.027842,0.0026043170458104,22852715.2580424,20969256.9549117,173816099.285884,171932640.982753,0.151379193075241,2334375374.31328,586196936074.368,150963384.027842,0.0038973069012838,41872241.852961,35483892.0820302,192835625.880803,186447276.109872,0.277366873580673,2334375374.31328,586196936074.368,150963384.027842,0.00545025865194526,66626224.8566101,50618466.566388,217589608.884452,201581850.59423,0.441340297752748,1998
"22","1999",1945541158.95745,330165647289.922,86100683.6124336,0.00198818940853835,12569292.715254,10941283.2110824,98669976.3276876,97041966.823516,0.145983657595941,1945541158.95745,330165647289.922,86100683.6124336,0.00333426200876797,23217636.811175,18896811.9624428,109318320.423609,104997495.574876,0.269656823117513,1945541158.95745,330165647289.922,86100683.6124336,0.00465943870961492,35206995.7287824,27264293.1551356,121307679.341216,113364976.767569,0.408904950014802,1999
"23","2000",1808753132.90482,499967269162.155,127943231.637492,0.00253368954549359,17109182.8528054,15813529.9108743,145052414.490297,143756761.548366,0.133724798364338,1808753132.90482,499967269162.155,127943231.637492,0.0037680708797601,35257183.3075625,28620386.2715087,163200414.945054,156563617.909001,0.27556896020462,1808753132.90482,499967269162.155,127943231.637492,0.00519666108635759,59725680.9045079,44043699.4407264,187668912.542,171986931.078218,0.466813915359992,2000
"24","2001",1399514479.39341,228819931362.577,94535201.8078911,0.00216233922171334,8479343.54620076,8384149.64364632,103014545.354092,102919351.451537,0.0896950911834089,1399514479.39341,228819931362.577,94535201.8078911,0.00340952504401952,16273649.0998993,15753622.5631093,110808850.90779,110288824.371,0.172143802400398,1399514479.39341,228819931362.577,94535201.8078911,0.00488409705276588,26593655.6117198,23765901.0720343,121128857.419611,118301102.879925,0.281309555627351,2001
"25","2002",2186553293.5746,490112266004.179,146635112.90364,0.00247473454904808,20525864.3926037,18400394.799068,167160977.296244,165035507.702708,0.13997919042823,2186553293.5746,490112266004.179,146635112.90364,0.00369120346321272,34375830.5146511,31759263.7808039,181010943.418291,178394376.684444,0.234431097940648,2186553293.5746,490112266004.179,146635112.90364,0.00512891161396559,56431871.7981135,47943610.4852774,203066984.701753,194578723.388917,0.384845557661194,2002
"26","2003",2688957535.21129,628570776398.179,285387165.884603,0.00238940879552366,24083443.6157857,23986031.5998213,309470609.500388,309373197.484424,0.0843886708820112,2688957535.21129,628570776398.179,285387165.884603,0.00380296862260907,44678519.3263187,42987013.9080661,330065685.210921,328374179.792669,0.156554059422506,2688957535.21129,628570776398.179,285387165.884603,0.00532000228408014,70416064.9694455,65137606.5106301,355803230.854048,350524772.395233,0.246738723345108,2003
"27","2004",2049153623.69236,506705433110.938,185469623.14253,0.00214109066740264,19349049.3916853,17398816.0004767,204818672.534215,202868439.143006,0.104324627741417,2049153623.69236,506705433110.938,185469623.14253,0.00327691392904588,35625650.9191514,31782371.1255471,221095274.061681,217251994.268077,0.192083481464638,2049153623.69236,506705433110.938,185469623.14253,0.00456481037455572,63023423.4689505,53564052.7481592,248493046.61148,239033675.890689,0.339804558833434,2004
"28","2005",534674570.086596,78788308017.6029,63274465.305778,0.000378469231396053,997139.665925185,898786.555696105,64271604.9717032,64173251.8614741,0.0157589583903466,534674570.086596,78788308017.6029,63274465.305778,0.000986922185131606,5120013.21921267,4924721.37117318,68394478.5249907,68199186.6769512,0.0809175264377166,534674570.086596,78788308017.6029,63274465.305778,0.00178540626879322,12644430.7657662,11822582.5831316,75918896.0715442,75097047.8889097,0.199834652172265,2005
"29","2006",1209464508.65887,208783644641.531,89885595.8571891,0.0013955730197068,7657221.86024839,7033316.97816759,97542817.7174375,96918912.8353567,0.0851885309011496,1209464508.65887,208783644641.531,89885595.8571891,0.00242057470055906,14571914.5527313,13331301.5496596,104457510.40992,103216897.406849,0.162116236909452,1209464508.65887,208783644641.531,89885595.8571891,0.00363293305360177,24251373.1162611,20795599.4587411,114136968.97345,110681195.31593,0.269802662873725,2006
"30","2007",2049006829.17326,397433398141.41,239565921.583721,0.0021357240258147,15007170.8952231,15007170.8952231,254573092.478944,254573092.478944,0.0626431789463784,2049006829.17326,397433398141.41,239565921.583721,0.00340831231931514,27907617.5093783,27761632.1876086,267473539.0931,267327553.77133,0.116492434837504,2049006829.17326,397433398141.41,239565921.583721,0.00481300740783631,45356566.6578594,44672555.2843836,284922488.241581,284238476.868105,0.189328124626476,2007
"31","2008",2936648820.44771,523966063685.378,240900735.004745,0.00365325196420661,23063741.778697,21887099.8831312,263964476.783441,262787834.887876,0.0957396073459167,2936648820.44771,523966063685.378,240900735.004745,0.00515072187175727,37383913.6156238,35230804.5887157,278284648.620368,276131539.59346,0.155183891883466,2936648820.44771,523966063685.378,240900735.004745,0.0069548214019028,56231209.3742395,50974047.7728092,297131944.378984,291874782.777554,0.233420663382916,2008
"32","2009",2634863754.92111,592641065917.652,169255197.751303,0.00266768934580094,16898550.9370773,16578686.7739343,186153748.688381,185833884.525238,0.0998406616847736,2634863754.92111,592641065917.652,169255197.751303,0.00399000453444532,39490411.1593057,35951090.1962408,208745608.910609,205206287.947544,0.233318749934825,2634863754.92111,592641065917.652,169255197.751303,0.00550783190664848,80328331.8060736,63069050.251945,249583529.557377,232324248.003248,0.474598906700075,2009
"33","2010",3178248133.14127,489069162615.311,284630609.857037,0.0046286850002349,22513124.9602558,22436782.4669604,307143734.817293,307067392.323997,0.0790959376138904,3178248133.14127,489069162615.311,284630609.857037,0.00628651119296328,35442970.9490817,34452399.4635762,320073580.806118,319083009.320613,0.124522696160064,3178248133.14127,489069162615.311,284630609.857037,0.00826031050930308,49438842.5736432,47157013.0154744,334069452.43068,331787622.872511,0.173694749831985,2010
"34","2011",4599268009.58355,969999352474.795,414105503.217386,0.00360711090561139,38989284.4294056,37770608.7531291,453094787.646792,451876111.970515,0.0941530216973187,4599268009.58355,969999352474.795,414105503.217386,0.00526583272071907,69312566.4081959,65393535.0481712,483418069.625582,479499038.265557,0.167379003344976,4599268009.58355,969999352474.795,414105503.217386,0.00679419919786321,110288976.21718,96832449.3316408,524394479.434566,510937952.549027,0.266330621931588,2011
"35","2012",549060432.958881,167411157537.71,44061759.0221023,0.000463197704736415,2570067.42208327,2570067.42208327,46631826.4441856,46631826.4441856,0.0583287521679303,549060432.958881,167411157537.71,44061759.0221023,0.00120554032125502,11136308.2578125,10189670.0287916,55198067.2799149,54251429.0508939,0.252743161075942,549060432.958881,167411157537.71,44061759.0221023,0.00204830386976538,25830271.3609912,20284546.0508318,69892030.3830936,64346305.0729341,0.586228782832619,2012
"36","2013",2207838498.84481,426112864102.902,208383753.03592,0.00214390924979247,15839540.9687357,15273175.2897663,224223294.004655,223656928.325686,0.0760114007832723,2207838498.84481,426112864102.902,208383753.03592,0.00335186518197999,30354068.7316982,28880771.0514451,238737821.767618,237264524.087365,0.145664277034429,2207838498.84481,426112864102.902,208383753.03592,0.00475985541912722,50752701.1819695,47146836.5156219,259136454.217889,255530589.551542,0.243554022050947,2013
"37","2014",2819311068.17648,409719862572.411,275972894.836013,0.00299152027472868,14506855.2667265,14357696.7048597,290479750.10274,290330591.540873,0.0525662321850363,2819311068.17648,409719862572.411,275972894.836013,0.00444059305519076,28645624.5093809,28138974.9925015,304618519.345394,304111869.828515,0.103798688369025,2819311068.17648,409719862572.411,275972894.836013,0.0060431719579345,53124343.9477549,49125684.8630179,329097238.783768,325098579.699031,0.192498411770917,2014
"38","2015",3611389827.51361,629950774997.251,392619561.804816,0.00299129667902978,22007979.7519989,21979817.7240211,414627541.556815,414599379.528837,0.0560542109792781,3611389827.51361,629950774997.251,392619561.804816,0.00441333189088211,45254755.3613071,43637344.6475067,437874317.166123,436256906.452323,0.115263628621247,3611389827.51361,629950774997.251,392619561.804816,0.00590159141274415,78167817.0682968,71964453.5674833,470787378.873113,464584015.3723,0.199093027125216,2015
"39","2016",1965431816.29617,286518599699.757,119749723.116614,0.00289051292879462,10767471.0207086,10705287.6399484,130517194.137322,130455010.756562,0.0899164585977629,1965431816.29617,286518599699.757,119749723.116614,0.00429880416428166,20122877.7115044,19532924.990802,139872600.828118,139282648.107416,0.168041120996234,1965431816.29617,286518599699.757,119749723.116614,0.0058769694365532,31041789.6608861,29023055.210616,150791512.7775,148772778.32723,0.259222224928714,2016
"40","2017",2628576056.35278,559200468358.676,261089908.184122,0.00239465556112844,20154947.1341654,19666675.9445298,281244855.318287,280756584.128652,0.0771954277143183,2628576056.35278,559200468358.676,261089908.184122,0.0036331557087585,39605243.3477313,37936624.8284939,300695151.531853,299026533.012616,0.151691973171944,2628576056.35278,559200468358.676,261089908.184122,0.00518064333315183,64505431.0885779,61587855.4443561,325595339.2727,322677763.628478,0.247062138621951,2017
"41","2018",2370609154.77902,316600410957.549,179446324.257501,0.00294911256997948,13041912.4283922,12916456.8785694,192488236.685893,192362781.136071,0.0726786267835578,2370609154.77902,316600410957.549,179446324.257501,0.00440382679778487,22560371.2380447,22478336.9777341,202006695.495546,201924661.235235,0.12572211401595,2370609154.77902,316600410957.549,179446324.257501,0.00598923580090798,33861598.4483936,33613567.8906311,213307922.705895,213059892.148132,0.188700429437624,2018
"42","2019",4454920065.79702,801530807903.665,322938571.122203,0.00540560830107098,37008640.5341602,36207278.372001,359947211.656363,359145849.494204,0.114599629290351,4454920065.79702,801530807903.665,322938571.122203,0.0071288057668666,57295016.8617108,52002182.8615161,380233587.983913,374940753.983719,0.177417694834693,4454920065.79702,801530807903.665,322938571.122203,0.00907533607459065,82464177.3429718,71068581.9087489,405402748.465174,394007153.030952,0.255355614711526,2019
