dateTime,Days741001,SmpTimeWindowDay,QCFS,SS_mgL,TP_mgL,SRP_mgL,NO23_mgL,TKN_mgL,Cl_mgL,Sulfate_mgL,Silica_mgL,Cond_umho,Future,Month
6/12/2018 04:00,,0.33,277.00,80.188,0.295,0.086,21.68,4.008,7.4,16.1,9.84,442,,6
6/12/2018 12:00,,0.33,180.00,52.208,0.238,0.083,19.38,2.816,8.1,18.0,10.56,450,,6
6/12/2018 20:00,,0.33,106.00,41.096,0.191,0.057,17.08,2.424,9.3,21.4,10.42,477,,6
6/13/2018 04:00,,0.33,71.20,33.009,0.153,0.055,16.14,1.998,11.0,25.3,10.63,505,,6
6/13/2018 12:00,,0.33,125.00,103.230,0.289,0.060,13.23,2.260,9.9,23.4,9.65,461,,6
6/13/2018 20:00,,0.33,97.00,73.740,0.264,0.071,12.64,2.151,9.1,20.2,9.78,425,,6
6/14/2018 04:00,,0.33,61.70,49.152,0.217,0.060,12.36,1.688,10.3,23.3,10.3,454,,6
6/14/2018 12:00,,0.67,39.70,42.389,0.180,0.039,11.42,1.517,11.3,25.5,10.41,489,,6
6/15/2018 12:00,,1.00,13.70,33.923,0.125,0.049,10.17,0.921,16.0,35.5,10.48,578,,6
6/16/2018 12:00,,1.00,7.75,30.323,0.110,0.038,8.89,0.783,18.6,40.8,9.4,620,,6
6/17/2018 12:00,,1.00,5.55,36.389,0.132,0.059,7.22,0.834,19.9,44.3,8.62,641,,6
6/18/2018 12:00,,0.54,4.34,22.127,0.115,0.057,5.33,0.705,20.9,46.1,8.31,645,,6
6/18/2018 14:00,,0.17,4.22,10.460,0.111,0.048,5.48,0.727,22.3,47.9,8.31,654,,6
6/18/2018 20:00,,0.63,3.98,22.500,0.120,0.032,4.95,0.674,22.5,111.0,7.99,640,,6
6/19/2018 20:00,,1.00,3.75,16.100,0.116,0.053,3.68,0.569,22.8,111.3,7.94,647,,6
6/20/2018 20:00,,1.00,3.37,18.500,0.120,0.060,2.87,0.577,22.7,110.2,7.79,647,,6
6/21/2018 20:00,,1.00,2.79,13.600,0.115,0.055,2.30,0.581,23.9,109.2,7.31,641,,6
6/22/2018 20:00,,0.67,5.26,14.600,0.122,0.064,1.83,0.642,25.6,103.9,7.17,642,,6
6/23/2018 04:00,,0.33,123.00,334.100,0.684,0.089,9.38,3.598,7.7,36.6,7.04,351,,6
6/23/2018 12:00,,0.33,101.00,93.300,0.348,0.077,10.56,2.287,9.7,43.0,8.9,397,,6
6/23/2018 20:00,,0.33,67.90,69.900,0.271,0.071,10.56,1.824,10.8,49.6,9.77,426,,6
6/24/2018 04:00,,0.33,58.80,48.100,0.218,0.061,10.78,1.519,12.3,57.6,10.13,474,,6
6/24/2018 12:00,,0.33,48.30,56.600,0.213,0.077,9.68,1.347,12.5,58.2,10.5,475,,6
6/24/2018 20:00,,0.50,34.00,61.000,0.204,0.063,9.21,1.354,13.1,60.3,10.57,487,,6
6/25/2018 12:00,,0.36,13.10,43.800,0.158,0.058,8.09,0.918,15.5,71.4,10.44,539,,6
6/25/2018 13:28,,0.17,12.30,21.000,0.128,0.059,8.36,0.827,16.7,76.0,10.87,544,,6
6/25/2018 20:00,,0.64,9.04,36.200,0.140,0.031,7.60,0.945,16.3,32.8,10.36,561,,6
6/26/2018 20:00,,1.00,4.59,19.700,0.112,0.028,6.23,0.670,18.1,36.1,9.32,600,,6
6/27/2018 20:00,,0.67,35.30,94.400,0.202,0.024,5.35,1.085,21.5,35.3,8.58,589,,6
6/28/2018 04:00,,0.33,55.00,99.300,0.298,0.043,7.56,1.484,11.1,22.6,8.38,421,,6
6/28/2018 12:00,,0.33,44.20,69.300,0.255,0.055,7.31,1.469,11.7,22.4,9.84,446,,6
6/28/2018 20:00,,0.33,32.30,46.900,0.215,0.043,6.85,1.349,12.7,24.9,10.25,477,,6
6/29/2018 04:00,,0.33,18.80,53.500,0.187,0.042,6.81,1.117,14.3,28.4,10.27,511,,6
6/29/2018 12:00,,0.33,11.90,45.200,0.166,0.035,6.34,1.988,15.8,30.3,10.22,539,,6
6/29/2018 20:00,,0.67,8.34,43.700,0.151,0.045,5.78,1.028,16.6,31.7,10.02,554,,6
6/30/2018 20:00,,1.00,4.59,33.300,0.136,0.033,4.59,0.840,18.7,35.6,9.48,600,,6
7/1/2018 20:00,,0.83,3.13,15.100,0.124,0.046,3.33,0.719,19.3,37.6,8.83,616,,7
7/2/2018 12:00,,0.38,2.58,15.500,0.123,0.056,2.82,0.729,21.1,38.7,8.57,633,,7
7/2/2018 14:03,,0.17,2.58,12.300,0.116,0.051,2.87,0.652,21.6,39.7,8.68,640,,7
7/2/2018 20:00,,0.62,2.28,17.021,0.133,0.071,2.55,0.762,21.3,40.7,8.40,629,,7
7/3/2018 20:00,,1.00,1.53,13.413,0.135,0.079,1.76,0.735,22.9,40.8,8.40,639,,7
7/4/2018 20:00,,1.00,0.95,10.900,0.146,0.087,1.21,0.787,22.8,40.3,8.32,633,,7
7/5/2018 20:00,,1.00,0.63,12.700,0.17,0.116,0.73,0.854,26.6,40.8,8.71,650,,7
7/6/2018 20:00,,1.00,0.35,8.728,0.181,0.128,0.44,0.725,24.4,40.4,8.85,646,,7
